File Name,SampleID
LUM2_00791_VG_6138K_2_protein_groups.tsv,6138K
LUM2_00820_VG_4114B_4_protein_groups.tsv,4114B
LUM2_00806_VG_6138A_1_protein_groups.tsv,6138A
LUM2_00854_VG_4114A_2_protein_groups.tsv,4114A
LUM2_00857_VG_4114A_5_protein_groups.tsv,4114A
LUM2_00809_VG_6138A_4_protein_groups.tsv,6138A
LUM2_00836_VG_4114K_2_protein_groups.tsv,4114K
LUM2_00801_VG_6138B_4_protein_groups.tsv,6138B
LUM2_00793_VG_6138K_4_protein_groups.tsv,6138K
LUM2_00853_VG_4114A_1_protein_groups.tsv,4114A
LUM2_00835_VG_4114K_1_protein_groups.tsv,4114K
LUM2_00859_VG_4114A_7_protein_groups.tsv,4114A
LUM2_00808_VG_6138A_3_protein_groups.tsv,6138A
LUM2_00823_VG_4114B_7_protein_groups.tsv,4114B
LUM2_00821_VG_4114B_5_protein_groups.tsv,4114B
LUM2_00798_VG_6138B_1_protein_groups.tsv,6138B
LUM2_00855_VG_4114A_3_protein_groups.tsv,4114A
LUM2_00837_VG_4114K_3_protein_groups.tsv,4114K
LUM2_00799_VG_6138B_2_protein_groups.tsv,6138B
LUM2_00818_VG_4114B_2_protein_groups.tsv,4114B
LUM2_00807_VG_6138A_2_protein_groups.tsv,6138A
LUM2_00841_VG_4114K_7_protein_groups.tsv,4114K
LUM2_00822_VG_4114B_6_protein_groups.tsv,4114B
LUM2_00790_VG_6138K_1_protein_groups.tsv,6138K
LUM2_00792_VG_6138K_3_protein_groups.tsv,6138K
LUM2_00840_VG_4114K_6_protein_groups.tsv,4114K
LUM2_00856_VG_4114A_4_protein_groups.tsv,4114A
LUM2_00858_VG_4114A_6_protein_groups.tsv,4114A
LUM2_00838_VG_4114K_4_protein_groups.tsv,4114K
LUM2_00817_VG_4114B_1_protein_groups.tsv,4114B
LUM2_00819_VG_4114B_3_protein_groups.tsv,4114B
LUM2_00839_VG_4114K_5_protein_groups.tsv,4114K
LUM2_00800_VG_6138B_3_protein_groups.tsv,6138B
